date,value,norm
1959-01-01,286.6,
1959-02-01,287.7,
1959-03-01,289.2,
1959-04-01,290.1,
1959-05-01,292.2,
1959-06-01,294.1,
1959-07-01,295.2,
1959-08-01,296.4,
1959-09-01,296.7,
1959-10-01,296.5,
1959-11-01,297.1,
1959-12-01,297.8,
1960-01-01,298.2,
1960-02-01,298.4,
1960-03-01,299.3,
1960-04-01,300.1,
1960-05-01,300.9,
1960-06-01,302.3,
1960-07-01,304.1,
1960-08-01,306.9,
1960-09-01,308.4,
1960-10-01,309.5,
1960-11-01,310.9,
1960-12-01,312.4,
1961-01-01,314.1,
1961-02-01,316.5,
1961-03-01,318.3,
1961-04-01,319.9,
1961-05-01,322.2,
1961-06-01,324.3,
1961-07-01,325.6,
1961-08-01,327.6,
1961-09-01,329.5,
1961-10-01,331.1,
1961-11-01,333.4,
1961-12-01,335.5,
1962-01-01,337.5,
1962-02-01,340.1,
1962-03-01,343.1,
1962-04-01,345.5,
1962-05-01,347.5,
1962-06-01,349.3,
1962-07-01,350.8,
1962-08-01,352.8,
1962-09-01,354.9,
1962-10-01,357.2,
1962-11-01,359.8,
1962-12-01,362.7,
1963-01-01,365.2,
1963-02-01,367.9,
1963-03-01,370.7,
1963-04-01,373.3,2.008196558042721
1963-05-01,376.1,2.006271287957078
1963-06-01,378.4,1.9852908461223286
1963-07-01,381.1,1.9777119895204327
1963-08-01,383.6,1.9626702093351338
1963-09-01,386.0,1.9431920497002284
1963-10-01,388.3,1.9201911253651163
1963-11-01,391.5,1.9258522089574681
1963-12-01,393.2,1.8834180815984847
1964-01-01,395.2,1.8540603161753435
1964-02-01,397.6,1.8396590620096165
1964-03-01,399.8,1.820419401173375
1964-04-01,401.7,1.7941124519576257
1964-05-01,404.2,1.7875261222594863
1964-06-01,407.1,1.7932247224054507
1964-07-01,410.1,1.801005702492647
1964-08-01,413.4,1.8163105279866087
1964-09-01,416.9,1.8356425177423772
1964-10-01,419.1,1.8176261450222961
1964-11-01,422.0,1.8193421542424484
1964-12-01,424.7,1.8138361957364166
1965-01-01,427.5,1.8109877421354466
1965-02-01,430.4,1.810979863176028
1965-03-01,433.2,1.80817276953794
1965-04-01,435.4,1.7900771447499062
1965-05-01,437.1,1.7606597073637926
1965-06-01,440.1,1.7659599761677398
1965-07-01,442.9,1.7654688908634042
1965-08-01,445.8,1.7674701785260885
1965-09-01,449.5,1.7884184091333506
1965-10-01,452.6,1.792070274081716
1965-11-01,455.7,1.7955633540230902
1965-12-01,459.2,1.8079859455266793
1966-01-01,462.0,1.8020819838002564
1966-02-01,464.6,1.7919793999709996
1966-03-01,467.2,1.782258666510531
1966-04-01,469.3,1.761281684647422
1966-05-01,470.1,1.7112842043042178
1966-06-01,471.2,1.67193969617438
1966-07-01,470.9,1.6015976648132209
1966-08-01,472.6,1.583784133598241
1966-09-01,475.4,1.593884045374283
1966-10-01,475.7,1.5440407961940716
1966-11-01,477.3,1.5295697915655158
1966-12-01,480.2,1.5483096697155954
1967-01-01,481.6,1.5302226915719397
1967-02-01,485.1,1.5653867389539844
1967-03-01,489.7,1.625918001142908
1967-04-01,492.1,1.6285642673657204
1967-05-01,497.2,1.697640974699882
1967-06-01,502.0,1.754094311112227
1967-07-01,506.3,1.793338033084688
1967-08-01,510.8,1.8334938831246688
1967-09-01,514.7,1.8547225892463541
1967-10-01,518.2,1.8639746444371592
1967-11-01,521.2,1.8596341151800007
1967-12-01,524.8,1.8689707450988227
1968-01-01,527.4,1.8535219134007936
1968-02-01,530.4,1.8482728893698237
1968-03-01,533.2,1.8375390173569346
1968-04-01,535.7,1.8210805575952873
1968-05-01,538.9,1.8219855069183726
1968-06-01,542.6,1.833681383088879
1968-07-01,545.6,1.8283602693995458
1968-08-01,549.4,1.8415000844390088
1968-09-01,553.6,1.8617728140519123
1968-10-01,557.6,1.8746982601098316
1968-11-01,562.4,1.9024759611519633
1968-12-01,566.8,1.9170147154346664
1969-01-01,569.3,1.8876062134428484
1969-02-01,571.9,1.862608299351097
1969-03-01,574.4,1.836803781923508
1969-04-01,575.7,1.787548300761437
1969-05-01,576.5,1.7315456736882275
1969-06-01,578.5,1.7045873195758101
1969-07-01,579.5,1.6585597445939935
1969-08-01,580.1,1.6077665476942402
1969-09-01,582.1,1.5903588052510762
1969-10-01,583.4,1.5593339657982372
1969-11-01,585.4,1.5450400564669844
1969-12-01,587.9,1.5421971215136174
1970-01-01,589.6,1.5221879404041223
1970-02-01,586.3,1.3969893837841594
1970-03-01,587.3,1.370114950656876
1970-04-01,588.4,1.3465455074286905
1970-05-01,591.5,1.3678812302394185
1970-06-01,595.2,1.4017357613071377
1970-07-01,599.1,1.4386421587486116
1970-08-01,604.9,1.5156842103539379
1970-09-01,611.2,1.600246460967686
1970-10-01,616.4,1.6564938984884727
