date,value
1971-01-08,0.51325
1971-01-15,0.58397
1971-01-22,0.6715
1971-01-29,0.7653
1971-02-05,0.85553
1971-02-12,0.93146
1971-02-19,0.9858
1971-02-26,1.01684
1971-03-05,1.02905
1971-03-12,1.03032
1971-03-19,1.03358
1971-03-26,1.05627
1971-04-02,1.11322
1971-04-09,1.21519
1971-04-16,1.36163
1971-04-23,1.53963
1971-04-30,1.72569
1971-05-07,1.88864
1971-05-14,1.99306
1971-05-21,2.01305
1971-05-28,1.93629
1971-06-04,1.76364
1971-06-11,1.5083
1971-06-18,1.20594
1971-06-25,0.89944
1971-07-02,0.63768
1971-07-09,0.47225
1971-07-16,0.44421
1971-07-23,0.57467
1971-07-30,0.85885
1971-08-06,1.2614
1971-08-13,1.72434
1971-08-20,2.18134
1971-08-27,2.56206
1971-09-03,2.82207
1971-09-10,2.93185
1971-09-17,2.89412
1971-09-24,2.72705
1971-10-01,2.46835
1971-10-08,2.16129
1971-10-15,1.85495
1971-10-22,1.59193
1971-10-29,1.40577
1971-11-05,1.31399
1971-11-12,1.31552
1971-11-19,1.39627
1971-11-26,1.52669
1971-12-03,1.6757
1971-12-10,1.81099
1971-12-17,1.90326
1971-12-24,1.93252
1971-12-31,1.89436
1972-01-07,1.7794
1972-01-14,1.61381
1972-01-21,1.4129
1972-01-28,1.20242
1972-02-04,1.00691
1972-02-11,0.84178
1972-02-18,0.71509
1972-02-25,0.62943
1972-03-03,0.58143
1972-03-10,0.56443
1972-03-17,0.56797
1972-03-24,0.57922
1972-03-31,0.58353
1972-04-07,0.56795
1972-04-14,0.52616
1972-04-21,0.45411
1972-04-28,0.3605
1972-05-05,0.25621
1972-05-12,0.15777
1972-05-19,0.08138
1972-05-26,0.04244
1972-06-02,0.04894
1972-06-09,0.10387
1972-06-16,0.20077
1972-06-23,0.32729
1972-06-30,0.46491
1972-07-07,0.59256
1972-07-14,0.69124
1972-07-21,0.74472
1972-07-28,0.74178
1972-08-04,0.67865
