date,value
1971-01-08,0.5843
1971-01-15,0.61628
1971-01-22,0.65342
1971-01-29,0.69423
1971-02-05,0.73738
1971-02-12,0.7805
1971-02-19,0.82252
1971-02-26,0.86386
1971-03-05,0.90613
1971-03-12,0.95139
1971-03-19,1.00187
1971-03-26,1.05988
1971-04-02,1.12557
1971-04-09,1.19789
1971-04-16,1.2726
1971-04-23,1.34328
1971-04-30,1.40276
1971-05-07,1.44299
1971-05-14,1.45522
1971-05-21,1.43477
1971-05-28,1.38241
1971-06-04,1.30258
1971-06-11,1.20285
1971-06-18,1.09961
1971-06-25,1.00995
1971-07-02,0.95042
1971-07-09,0.93662
1971-07-16,0.97835
1971-07-23,1.07827
1971-07-30,1.23111
1971-08-06,1.42268
1971-08-13,1.63243
1971-08-20,1.83777
1971-08-27,2.01281
1971-09-03,2.14204
1971-09-10,2.21135
1971-09-17,2.21997
1971-09-24,2.17157
1971-10-01,2.077
1971-10-08,1.95041
1971-10-15,1.80979
1971-10-22,1.67173
1971-10-29,1.55038
1971-11-05,1.45546
1971-11-12,1.39015
1971-11-19,1.35374
1971-11-26,1.33928
1971-12-03,1.33864
1971-12-10,1.34274
1971-12-17,1.34136
1971-12-24,1.32632
1971-12-31,1.29459
1972-01-07,1.23662
1972-01-14,1.1615
1972-01-21,1.07008
1972-01-28,0.96916
1972-02-04,0.86633
1972-02-11,0.76677
1972-02-18,0.67418
1972-02-25,0.59156
1972-03-03,0.52033
1972-03-10,0.46053
1972-03-17,0.41
1972-03-24,0.36558
1972-03-31,0.32309
1972-04-07,0.2793
1972-04-14,0.23351
1972-04-21,0.185
1972-04-28,0.13682
1972-05-05,0.0917
1972-05-12,0.05405
1972-05-19,0.02781
1972-05-26,0.01734
1972-06-02,0.02468
1972-06-09,0.05046
1972-06-16,0.09195
1972-06-23,0.14458
1972-06-30,0.20113
1972-07-07,0.25363
1972-07-14,0.2952
1972-07-21,0.31999
1972-07-28,0.32354
1972-08-04,0.30517
1972-08-11,0.2664
1972-08-18,0.21165
1972-08-25,0.14646
1972-09-01,0.07791
1972-09-08,0.01324
1972-09-15,-0.04284
1972-09-22,-0.0875
1972-09-29,-0.12013
1972-10-06,-0.14265
1972-10-13,-0.15882
1972-10-20,-0.17123
1972-10-27,-0.1836
1972-11-03,-0.19822
1972-11-10,-0.21564
1972-11-17,-0.23548
1972-11-24,-0.25642
1972-12-01,-0.27409
1972-12-08,-0.28418
1972-12-15,-0.28177
1972-12-22,-0.26045
1972-12-29,-0.21531
1973-01-05,-0.14295
1973-01-12,-0.04136
1973-01-19,0.08754
1973-01-26,0.23934
1973-02-02,0.4075
1973-02-09,0.58203
1973-02-16,0.75149
1973-02-23,0.90627
1973-03-02,1.03718
1973-03-09,1.13893
1973-03-16,1.20891
1973-03-23,1.25022
1973-03-30,1.26667
1973-04-06,1.26282
1973-04-13,1.24584
1973-04-20,1.22079
1973-04-27,1.19301
1973-05-04,1.16553
1973-05-11,1.14172
1973-05-18,1.12361
1973-05-25,1.11346
1973-06-01,1.11401
1973-06-08,1.12848
1973-06-15,1.1589
1973-06-22,1.20771
1973-06-29,1.27685
1973-07-06,1.36549
1973-07-13,1.47235
1973-07-20,1.59278
1973-07-27,1.72264
1973-08-03,1.85475
1973-08-10,1.98369
1973-08-17,2.104
1973-08-24,2.21056
1973-08-31,2.29818
1973-09-07,2.36209
1973-09-14,2.39986
1973-09-21,2.41218
1973-09-28,2.40062
1973-10-05,2.36745
1973-10-12,2.32107
1973-10-19,2.26711
1973-10-26,2.21483
1973-11-02,2.16999
1973-11-09,2.13662
1973-11-16,2.11501
1973-11-23,2.09861
1973-11-30,2.07836
1973-12-07,2.04187
1973-12-14,1.98007
1973-12-21,1.88622
1973-12-28,1.75863
1974-01-04,1.59831
1974-01-11,1.41615
1974-01-18,1.22134
1974-01-25,1.02603
1974-02-01,0.84327
1974-02-08,0.68419
1974-02-15,0.55867
1974-02-22,0.47511
1974-03-01,0.43891
1974-03-08,0.45349
1974-03-15,0.52107
1974-03-22,0.6407
1974-03-29,0.80958
1974-04-05,1.02362
1974-04-12,1.2785
1974-04-19,1.56781
1974-04-26,1.88585
1974-05-03,2.22533
1974-05-10,2.58086
1974-05-17,2.94504
1974-05-24,3.30862
1974-05-31,3.66485
1974-06-07,4.00548
1974-06-14,4.32041
1974-06-21,4.60066
1974-06-28,4.83483
1974-07-05,5.01229
1974-07-12,5.12726
1974-07-19,5.17834
1974-07-26,5.1706
1974-08-02,5.11399
1974-08-09,5.01708
1974-08-16,4.89454
1974-08-23,4.75451
1974-08-30,4.6063
1974-09-06,4.45331
1974-09-13,4.29764
1974-09-20,4.13937
1974-09-27,3.97376
1974-10-04,3.80081
1974-10-11,3.61996
1974-10-18,3.43935
1974-10-25,3.26747
1974-11-01,3.11173
1974-11-08,2.97937
1974-11-15,2.87252
1974-11-22,2.78709
1974-11-29,2.7188
1974-12-06,2.65826
1974-12-13,2.59598
1974-12-20,2.52493
1974-12-27,2.43642
1975-01-03,2.32743
1975-01-10,2.19661
1975-01-17,2.04838
1975-01-24,1.88892
1975-01-31,1.72431
1975-02-07,1.56067
1975-02-14,1.40466
1975-02-21,1.25816
1975-02-28,1.12226
1975-03-07,0.99747
1975-03-14,0.88246
1975-03-21,0.77573
1975-03-28,0.6744
1975-04-04,0.57591
1975-04-11,0.47924
1975-04-18,0.38396
1975-04-25,0.28996
1975-05-02,0.19995
1975-05-09,0.11574
1975-05-16,0.03967
1975-05-23,-0.02692
1975-05-30,-0.0808
1975-06-06,-0.12154
1975-06-13,-0.14938
1975-06-20,-0.16593
1975-06-27,-0.17305
1975-07-04,-0.17327
1975-07-11,-0.16941
1975-07-18,-0.16359
1975-07-25,-0.15593
1975-08-01,-0.14637
1975-08-08,-0.13385
1975-08-15,-0.11813
1975-08-22,-0.09785
1975-08-29,-0.07282
1975-09-05,-0.04392
1975-09-12,-0.01171
1975-09-19,0.02253
1975-09-26,0.0561
1975-10-03,0.08761
1975-10-10,0.11347
1975-10-17,0.13267
1975-10-24,0.14427
1975-10-31,0.14746
1975-11-07,0.14088
1975-11-14,0.12406
1975-11-21,0.09649
1975-11-28,0.05784
1975-12-05,0.00819
1975-12-12,-0.05095
1975-12-19,-0.11748
1975-12-26,-0.18954
1976-01-02,-0.26451
1976-01-09,-0.3392
1976-01-16,-0.41037
1976-01-23,-0.47617
1976-01-30,-0.53518
1976-02-06,-0.58678
1976-02-13,-0.6302
1976-02-20,-0.66657
1976-02-27,-0.69618
1976-03-05,-0.7193
1976-03-12,-0.73546
1976-03-19,-0.74467
1976-03-26,-0.74627
1976-04-02,-0.73944
1976-04-09,-0.72389
1976-04-16,-0.69959
1976-04-23,-0.6679
1976-04-30,-0.63059
1976-05-07,-0.59033
1976-05-14,-0.55058
1976-05-21,-0.51503
1976-05-28,-0.48659
1976-06-04,-0.46819
1976-06-11,-0.46123
1976-06-18,-0.4652
1976-06-25,-0.47977
1976-07-02,-0.50261
1976-07-09,-0.53107
1976-07-16,-0.56244
1976-07-23,-0.59457
1976-07-30,-0.62502
1976-08-06,-0.65223
1976-08-13,-0.67555
1976-08-20,-0.69431
1976-08-27,-0.70829
1976-09-03,-0.71784
1976-09-10,-0.72322
1976-09-17,-0.72513
1976-09-24,-0.72412
1976-10-01,-0.72007
1976-10-08,-0.71416
1976-10-15,-0.70686
1976-10-22,-0.69827
1976-10-29,-0.68866
1976-11-05,-0.6795
1976-11-12,-0.67176
1976-11-19,-0.66672
1976-11-26,-0.66629
1976-12-03,-0.67145
1976-12-10,-0.68399
1976-12-17,-0.70327
1976-12-24,-0.72936
1976-12-31,-0.76125
1977-01-07,-0.79741
1977-01-14,-0.83423
1977-01-21,-0.86957
1977-01-28,-0.90079
1977-02-04,-0.92526
1977-02-11,-0.9414
1977-02-18,-0.94839
1977-02-25,-0.94584
1977-03-04,-0.93388
1977-03-11,-0.9139
1977-03-18,-0.88677
1977-03-25,-0.85399
1977-04-01,-0.81708
1977-04-08,-0.77754
1977-04-15,-0.73601
1977-04-22,-0.69416
1977-04-29,-0.65278
1977-05-06,-0.61368
1977-05-13,-0.57808
1977-05-20,-0.54759
1977-05-27,-0.52305
1977-06-03,-0.50538
1977-06-10,-0.49455
1977-06-17,-0.48951
1977-06-24,-0.4895
1977-07-01,-0.49327
1977-07-08,-0.49939
1977-07-15,-0.50555
1977-07-22,-0.51045
1977-07-29,-0.51257
1977-08-05,-0.51114
1977-08-12,-0.50622
1977-08-19,-0.49752
1977-08-26,-0.48581
1977-09-02,-0.4707
1977-09-09,-0.45221
1977-09-16,-0.43008
1977-09-23,-0.40514
1977-09-30,-0.37793
1977-10-07,-0.35006
1977-10-14,-0.32222
1977-10-21,-0.29551
1977-10-28,-0.27135
1977-11-04,-0.25043
1977-11-11,-0.23405
1977-11-18,-0.22287
1977-11-25,-0.21738
1977-12-02,-0.21727
1977-12-09,-0.22252
1977-12-16,-0.23187
1977-12-23,-0.24487
1977-12-30,-0.25948
1978-01-06,-0.27412
1978-01-13,-0.28629
1978-01-20,-0.29374
1978-01-27,-0.29454
1978-02-03,-0.2874
1978-02-10,-0.27198
1978-02-17,-0.24756
1978-02-24,-0.21449
1978-03-03,-0.17376
1978-03-10,-0.12637
1978-03-17,-0.0738
1978-03-24,-0.01744
1978-03-31,0.04153
1978-04-07,0.10224
1978-04-14,0.16434
1978-04-21,0.22746
1978-04-28,0.29104
1978-05-05,0.35335
1978-05-12,0.41353
1978-05-19,0.47004
1978-05-26,0.52119
1978-06-02,0.56588
1978-06-09,0.6021
1978-06-16,0.62893
1978-06-23,0.64486
1978-06-30,0.64919
1978-07-07,0.64195
1978-07-14,0.62407
1978-07-21,0.5979
1978-07-28,0.56587
1978-08-04,0.53162
1978-08-11,0.50066
1978-08-18,0.47968
1978-08-25,0.47573
1978-09-01,0.49483
1978-09-08,0.54286
1978-09-15,0.62299
1978-09-22,0.73513
1978-09-29,0.87743
1978-10-06,1.04281
1978-10-13,1.22346
1978-10-20,1.40781
1978-10-27,1.58461
1978-11-03,1.7404
1978-11-10,1.86743
1978-11-17,1.95848
1978-11-24,2.00709
1978-12-01,2.01556
1978-12-08,1.98496
1978-12-15,1.91898
1978-12-22,1.82375
1978-12-29,1.70476
1979-01-05,1.56826
1979-01-12,1.42107
1979-01-19,1.26921
1979-01-26,1.1185
1979-02-02,0.97337
1979-02-09,0.83737
1979-02-16,0.71232
1979-02-23,0.59999
1979-03-02,0.5025
1979-03-09,0.41987
1979-03-16,0.3532
1979-03-23,0.30211
1979-03-30,0.26675
1979-04-06,0.24635
1979-04-13,0.24015
1979-04-20,0.24761
1979-04-27,0.26777
1979-05-04,0.29955
1979-05-11,0.34187
1979-05-18,0.39407
1979-05-25,0.45527
1979-06-01,0.52416
1979-06-08,0.59875
1979-06-15,0.677
1979-06-22,0.75675
1979-06-29,0.83694
1979-07-06,0.91616
1979-07-13,0.9954
1979-07-20,1.07677
1979-07-27,1.16179
1979-08-03,1.25218
1979-08-10,1.34897
1979-08-17,1.4536
1979-08-24,1.56576
1979-08-31,1.68434
1979-09-07,1.80718
1979-09-14,1.93254
1979-09-21,2.05656
1979-09-28,2.17416
1979-10-05,2.28118
1979-10-12,2.37254
1979-10-19,2.44318
1979-10-26,2.48891
1979-11-02,2.50737
1979-11-09,2.4943
1979-11-16,2.45204
1979-11-23,2.38297
1979-11-30,2.29288
1979-12-07,2.18887
1979-12-14,2.0791
1979-12-21,1.97316
1979-12-28,1.87757
1980-01-04,1.80081
1980-01-11,1.75293
1980-01-18,1.74037
1980-01-25,1.77161
1980-02-01,1.85306
1980-02-08,1.98618
1980-02-15,2.17067
1980-02-22,2.40124
1980-02-29,2.66763
1980-03-07,2.95226
1980-03-14,3.23917
1980-03-21,3.50437
1980-03-28,3.72512
1980-04-04,3.88818
1980-04-11,3.97582
1980-04-18,3.98258
1980-04-25,3.90963
1980-05-02,3.76217
1980-05-09,3.55097
1980-05-16,3.29263
1980-05-23,3.00166
1980-05-30,2.69119
1980-06-06,2.37625
1980-06-13,2.06703
1980-06-20,1.77073
1980-06-27,1.49929
1980-07-04,1.26298
1980-07-11,1.06765
1980-07-18,0.92147
1980-07-25,0.82204
1980-08-01,0.76806
1980-08-08,0.75531
1980-08-15,0.77426
1980-08-22,0.81542
1980-08-29,0.87596
1980-09-05,0.94924
1980-09-12,1.02835
1980-09-19,1.11705
1980-09-26,1.21534
1980-10-03,1.32683
1980-10-10,1.45308
1980-10-17,1.60423
1980-10-24,1.77746
1980-10-31,1.97553
1980-11-07,2.19318
1980-11-14,2.41912
1980-11-21,2.64617
1980-11-28,2.86338
1980-12-05,3.04861
1980-12-12,3.18973
1980-12-19,3.28365
1980-12-26,3.30918
1981-01-02,3.27603
1981-01-09,3.18579
1981-01-16,3.05071
1981-01-23,2.88017
1981-01-30,2.69012
1981-02-06,2.48976
1981-02-13,2.29554
1981-02-20,2.11932
1981-02-27,1.96142
1981-03-06,1.83399
1981-03-13,1.73945
1981-03-20,1.68058
1981-03-27,1.65927
1981-04-03,1.67606
1981-04-10,1.72638
1981-04-17,1.81135
1981-04-24,1.91923
1981-05-01,2.04791
1981-05-08,2.1957
1981-05-15,2.35523
1981-05-22,2.52069
1981-05-29,2.69353
1981-06-05,2.86146
1981-06-12,3.02439
1981-06-19,3.17217
1981-06-26,3.29914
1981-07-03,3.39881
1981-07-10,3.46936
1981-07-17,3.50959
1981-07-24,3.51741
1981-07-31,3.50011
1981-08-07,3.4573
1981-08-14,3.39589
1981-08-21,3.32267
1981-08-28,3.24584
1981-09-04,3.16842
1981-09-11,3.09798
1981-09-18,3.03167
1981-09-25,2.96996
1981-10-02,2.9156
1981-10-09,2.86095
1981-10-16,2.80848
1981-10-23,2.75479
1981-10-30,2.69561
1981-11-06,2.62672
1981-11-13,2.54973
1981-11-20,2.46465
1981-11-27,2.37653
1981-12-04,2.29115
1981-12-11,2.21004
1981-12-18,2.13372
1981-12-25,2.06575
1982-01-01,2.00439
1982-01-08,1.95307
1982-01-15,1.91787
1982-01-22,1.89797
1982-01-29,1.89722
1982-02-05,1.90869
1982-02-12,1.93245
1982-02-19,1.96367
1982-02-26,1.99787
1982-03-05,2.02868
1982-03-12,2.05529
1982-03-19,2.0796
1982-03-26,2.10088
1982-04-02,2.11956
1982-04-09,2.14228
1982-04-16,2.17016
1982-04-23,2.20568
1982-04-30,2.25299
1982-05-07,2.31441
1982-05-14,2.39145
1982-05-21,2.48293
1982-05-28,2.58058
1982-06-04,2.67727
1982-06-11,2.7692
1982-06-18,2.84736
1982-06-25,2.90615
1982-07-02,2.94509
1982-07-09,2.96889
1982-07-16,2.98247
1982-07-23,2.99929
1982-07-30,3.02853
1982-08-06,3.07834
1982-08-13,3.15008
1982-08-20,3.23515
